Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
432,Fred VanVleet,PG,25,TOR,22,22,36.6,5.7,14,0.409,2.6,6.7,0.395,3.1,7.3,0.422,0.503,3.9,4.4,0.876,0.2,3.6,3.8,7,2,0.1,2.4,2.3,18
433,Noah Vonleh,C,24,MIN,16,1,11.3,1.3,2.7,0.465,0.1,0.6,0.1,1.2,2.1,0.576,0.477,1,1.2,0.842,1.1,2.3,3.4,1,0.3,0.2,0.8,1.3,3.6
434,Nikola Vu?evi?,C,29,ORL,16,16,30.9,6.7,15.1,0.444,1.3,3.9,0.317,5.4,11.1,0.489,0.485,2.3,2.7,0.86,2.7,8.7,11.4,3.4,0.6,0.9,1.4,1.9,16.9
435,Dean Wade,PF,23,CLE,3,0,6,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.75,0,0,,0,0.7,0.7,0,0.3,0,0,1,1
436,Moritz Wagner,C,22,WAS,21,4,20.4,4.4,7.6,0.581,1,2.7,0.393,3.4,5,0.683,0.65,1.7,2,0.837,1.6,4.4,6,1.3,0.7,0.6,2,3.9,11.6
437,Kemba Walker,PG,29,BOS,23,23,32.3,7.6,17.7,0.429,3.8,9.3,0.407,3.8,8.3,0.453,0.536,4.2,4.7,0.889,0.9,3.3,4.2,5.3,1,0.6,2.1,1.7,23.1
438,Lonnie Walker,SG,21,SAS,19,0,9.6,1.9,4,0.474,0.4,0.9,0.389,1.5,3.1,0.5,0.52,0.6,1.1,0.6,0.3,1.2,1.5,0.5,0.3,0.2,0.5,1,4.8
439,Tyrone Wallace,SG,25,ATL,14,0,11.4,1,3.1,0.318,0.1,1.1,0.067,0.9,2.1,0.448,0.33,0.8,1.2,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
440,Taurean Waller-Prince,SF,25,BRK,27,27,30.6,4.6,11.8,0.386,2.6,6.6,0.385,2,5.2,0.386,0.494,0.9,1.2,0.727,0.9,5.6,6.4,2.3,0.9,0.4,2.1,2.8,12.6
441,Derrick Walton,PG,24,LAC,13,0,10.1,0.7,1.4,0.5,0.4,0.9,0.417,0.3,0.5,0.667,0.639,0.5,0.5,0.857,0.2,0.5,0.6,1,0.3,0,0.2,0.8,2.2
